567,353,564,214,1.00,
567,353,564,214,1.00,
565,353,564,212,1.00,
563,350,560,213,1.00,
560,343,548,217,1.00,
557,339,542,218,1.00,
556,337,539,219,1.00,
558,335,536,223,1.00,
566,336,537,230,1.00,
572,339,542,233,1.00,
579,342,547,237,1.00,
588,348,556,240,1.00,
597,356,569,241,1.00,
599,360,576,239,1.00,
598,359,574,239,1.00,
605,365,584,240,1.00,
606,366,585,240,1.00,
607,363,580,244,1.00,
611,365,584,246,1.00,
615,369,590,246,1.00,
615,371,593,244,1.00,
603,360,576,243,1.00,
570,331,529,239,1.00,
535,306,489,229,1.00,
506,287,516,219,1.00,
483,269,484,214,1.00,
462,255,459,207,1.00,
437,243,437,194,1.00,
430,237,426,193,1.00,
422,232,417,190,1.00,
415,229,412,186,1.00,
424,235,423,189,1.00,
452,250,450,202,1.00,
475,267,480,208,1.00,
508,288,518,220,1.00,
546,315,504,231,1.00,
576,339,542,237,1.00,
610,363,580,247,1.00,
633,387,619,246,1.00,
683,436,531,247,1.00,
863,664,810,199,1.00,
946,802,898,144,1.00,
957,843,944,114,1.00,
967,866,969,101,1.00,
974,894,965,80,1.00,
983,908,980,75,1.00,
982,907,979,75,1.00,
984,909,981,75,1.00,
982,911,983,71,1.00,
982,906,978,76,1.00,
983,904,976,79,1.00,
982,898,969,84,1.00,
973,877,947,96,1.00,
940,786,958,154,1.00,
693,446,544,247,1.00,
577,339,542,238,1.00,
541,311,497,230,1.00,
539,311,497,228,1.00,
539,311,497,228,1.00,
523,299,538,224,1.00,
515,293,527,222,1.00,
515,293,527,222,1.00,
521,299,538,222,1.00,
523,297,534,226,1.00,
522,302,483,220,1.00,
525,300,540,225,1.00,
524,302,483,222,1.00,
526,301,481,225,1.00,
527,303,484,224,1.00,
526,300,540,226,1.00,
525,302,483,223,1.00,
284,157,282,127,1.00,
282,156,280,126,1.00,
289,159,286,130,1.00,
275,151,271,124,1.00,
231,133,239,98,1.00,
190,113,203,77,1.00,
168,101,181,67,1.00,
164,101,181,63,1.00,
161,96,172,65,1.00,
137,83,149,54,1.00,
117,70,126,47,1.00,
99,60,108,39,1.00,
86,52,93,34,1.00,
77,46,82,31,1.00,
79,48,86,31,1.00,
76,47,84,29,1.00,
72,45,81,27,1.00,
69,43,77,26,1.00,
65,41,73,24,1.00,
59,38,68,21,1.00,
55,35,63,20,1.00,
51,34,61,17,1.00,
46,32,57,14,1.00,
43,30,54,13,1.00,
41,28,50,13,1.00,
39,27,48,12,1.00,
38,27,48,11,1.00,
37,26,46,11,1.00,
37,26,46,11,1.00,
36,26,46,10,1.00,
37,26,46,11,1.00,
42,28,50,14,1.00,
52,35,63,17,1.00,
68,44,79,24,1.00,
92,58,104,34,1.00,
120,74,133,46,1.00,
160,93,167,67,1.00,
206,115,207,91,1.00,
264,141,253,123,1.00,
340,176,316,164,1.00,
416,209,376,207,1.00,
450,233,419,217,1.00,
464,253,455,211,1.00,
442,238,428,204,1.00,
441,229,412,212,1.00,
425,215,387,210,1.00,
414,210,378,204,1.00,
400,200,360,200,2.00,
395,198,356,197,1.00,
399,203,365,196,1.00,
401,207,372,194,1.00,
392,199,358,193,1.00,
520,301,481,219,1.00,
525,303,484,222,1.00,
532,309,494,223,1.00,
569,338,540,231,1.00,
592,354,566,238,1.00,
604,371,593,233,1.00,
620,387,619,233,1.00,
642,402,490,240,1.00,
648,405,494,243,1.00,
658,414,505,244,1.00,
656,415,506,241,1.00,
667,422,514,245,1.00,
646,410,500,236,1.00,
643,407,496,236,1.00,
644,405,494,239,1.00,
653,414,505,239,1.00,
679,443,540,236,1.00,
701,465,567,236,1.00,
721,485,591,236,1.00,
736,504,614,232,1.00,
741,510,622,231,1.00,
747,517,630,230,1.00,
750,523,638,227,1.00,
752,527,642,225,1.00,
752,528,644,224,1.00,
754,528,644,226,1.00,
752,528,644,224,1.00,
751,529,645,222,1.00,
754,531,647,223,1.00,
757,536,653,221,1.00,
755,537,655,218,1.00,
751,534,651,217,1.00,
773,549,669,224,1.00,
738,527,642,211,1.00,
753,538,656,215,1.00,
754,539,657,215,1.00,
747,535,652,212,1.00,
751,538,656,213,1.00,
739,528,644,211,1.00,
764,542,661,222,1.00,
753,527,642,226,1.00,
776,536,653,240,1.00,
751,511,623,240,1.00,
723,482,588,241,1.00,
685,446,544,239,1.00,
655,419,511,236,1.00,
623,385,616,238,1.00,
610,366,585,244,1.00,
603,360,576,243,1.00,
598,356,569,242,1.00,
599,360,576,239,1.00,
595,361,577,234,1.00,
586,355,568,231,1.00,
591,360,576,231,1.00,
590,358,572,232,1.00,
588,355,568,233,1.00,
585,354,566,231,1.00,
584,353,564,231,1.00,
583,352,563,231,1.00,
586,353,564,233,1.00,
591,359,574,232,1.00,
591,356,569,235,1.00,
579,347,555,232,1.00,
567,338,540,229,1.00,
